銀行別,存款,稅前盈餘,放款總額,逾期放款總額,貼現及放款提列之備抵呆帳,淨值,逾放比率(%),備抵呆帳/逾期放款(%)
臺灣銀行,5576714,17606,3801031,3071,54830,583575,0.08,1785.24
臺灣土地銀行,3193045,10432,2606133,1870,36772,262709,0.07,1966.33
合作金庫商業銀行,4329011,14241,3265895,4803,39115,315205,0.15,814.45
第一商業銀行,4074577,18746,2954905,4660,40739,318019,0.16,874.21
華南商業銀行,3617881,15953,2573450,3308,30825,252447,0.13,931.84
彰化商業銀行,2895452,13102,2208714,3243,29242,229700,0.15,901.58
上海商業儲蓄銀行,1273231,11591,930292,4268,12003,214933,0.46,281.2
台北富邦商業銀行,4057103,30412,2732901,3120,34720,331132,0.11,1112.78
國泰世華商業銀行,4563502,32263,3061912,4436,48813,333099,0.14,1100.45
中國輸出入銀行,0,1020,249460,139,4437,48182,0.06,3180.81
高雄銀行,279873,909,225701,792,2640,27978,0.35,333.5
兆豐國際商業銀行,3385615,19028,2645540,4241,41445,383049,0.16,977.13
花旗(台灣)商業銀行,460631,6763,60659,0,650,68385,0,0
王道商業銀行,327195,1802,246055,1212,3248,45240,0.49,268
臺灣中小企業銀行,2232747,8924,1753193,3079,21997,154520,0.18,714.31
渣打國際商業銀行,642938,4541,326193,255,4906,54336,0.08,1923.01
台中商業銀行,845453,6074,654284,978,7988,95873,0.15,816.54
京城商業銀行,298744,4346,242267,132,3557,54759,0.05,2685.3
匯豐(台灣)商業銀行,710535,8505,361694,321,4644,69624,0.09,1446.06
瑞興商業銀行,85776,156,65454,85,770,6154,0.13,904.19
