年,月,企業貸款總家數,企業貸款總金額[仟元],企業貸款平均金額[仟元]
2012,05,115427,12966507035,112335.13
2012,06,115767,12766865483,110280.70
2012,07,115848,12821510939,110675.29
2012,08,116117,12807429336,110297.63
2012,09,116492,12820771435,110057.10
2012,10,116816,12856169323,110054.87
2012,11,117250,12755546647,108789.31
2012,12,118646,12943762277,109095.65
2013,01,118138,12956604858,109673.47
2013,02,118227,13013339856,110070.79
2013,03,118563,13078327659,110306.99
2013,04,118934,12991577470,109233.50
2013,05,119483,12877120050,107773.66
2013,06,120174,12966341822,107896.40
2013,07,120284,13077927572,108725.41
2013,08,120674,13054825612,108182.59
2013,09,121139,13130227964,108389.77
2013,10,121749,13099165287,107591.56
2013,11,122232,13115357305,107298.88
2013,12,123134,13139732485,106710.84
