機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,當月簽帳金額[百萬元],循環信用餘額[百萬元],逾期三個月以上帳款[百萬元],逾期六個月以上帳款[百萬元]
臺灣銀行,285412,182341,2150,1830,1250.32,152.41,1.25,0.42
臺灣土地銀行,462150,293410,3420,2910,2180.45,280.12,2.84,0.95
合作金庫商業銀行,598230,381200,4520,3890,3450.80,410.50,4.12,1.38
第一商業銀行,1520430,1085200,12450,9800,9820.60,1120.30,10.50,3.20
華南商業銀行,1185400,845200,9800,8120,7650.40,890.20,8.15,2.74
彰化商業銀行,735200,498500,5600,4900,4320.15,510.80,5.20,1.80
上海商業儲蓄銀行,325100,215400,2400,1980,1890.30,220.40,2.10,0.70
台北富邦商業銀行,7420500,5680400,68500,45200,58240.50,6210.80,52.30,15.80
國泰世華商業銀行,7150200,5390100,62100,41300,56120.80,5980.40,49.80,14.50
高雄銀行,28450,15200,180,150,98.50,12.30,0.15,0.05
兆豐國際商業銀行,1154200,789500,8900,7400,7820.40,840.50,7.90,2.60
花旗(台灣)商業銀行,15200,11200,10,2500,85.20,10.50,0.20,0.08
王道商業銀行,185400,112300,1450,1120,950.30,85.40,0.95,0.30
臺灣中小企業銀行,312500,198400,2100,1850,1650.80,195.20,1.85,0.60
渣打國際商業銀行,385200,245100,2800,2300,2450.60,280.40,2.75,0.90
台中商業銀行,145200,92400,1100,950,780.50,85.20,0.80,0.25
京城商業銀行,32400,18500,210,180,125.40,15.20,0.18,0.06
滙豐(台灣)商業銀行,685400,485200,5200,4100,5120.30,540.20,4.80,1.50
瑞興商業銀行,18200,10500,120,110,65.20,7.80,0.08,0.02
