金控公司名稱,核准設立日期,開業,集團資產(單位10億元),集團淨值(單位10億元),子公司
華南金融控股公司,090/11/28,090/12/19,4547,242,華南商業銀行、華南產物保險公司、華南永昌綜合證券公司、華南永昌證券投資信託公司、華南金創業投資公司、華南金資產管理公司
富邦金融控股公司,090/11/28,090/12/19,13768,1284,台北富邦商業銀行、富邦產物保險公司、富邦人壽保險公司、富邦綜合證券公司、富邦金控創業投資公司、富邦銀行(香港)公司、富邦資產管理公司、富邦證券投資信託公司、富邦科技保險代理人股份有限公司
凱基金融控股公司,090/11/28,090/12/28,4591,469,凱基證券公司、凱基商業銀行、中華開發資本公司、凱基人壽保險公司、凱基證券投資信託公司
國泰金融控股公司,090/11/28,090/12/31,14991,1130,國泰世華商業銀行、國泰世紀產物保險公司、國泰人壽保險公司、國泰綜合證券公司、國泰創業投資公司、國泰證券投資信託公司
中國信託金融控股公司,090/11/28,091/5/17,10260,736,中國信託商業銀行、中國信託綜合證券公司、中國信託創業投資公司、中國信託資產管理公司、中信保全公司、台灣彩券公司、中國信託證券投資信託公司、台灣人壽保險公司、中國信託資融公司
永豐金融控股公司,090/11/28,091/5/9,4009,268,永豐商業銀行、永豐金證券公司、永豐證券投資信託公司、永豐創業投資公司、永豐金租賃公司、京城商業銀行
玉山金融控股公司,090/12/31,091/1/28,4871,282,玉山商業銀行、玉山綜合證券公司、玉山創業投資公司、玉山證券投資信託股份有限公司
元大金融控股公司,090/12/31,091/2/4,5151,410,元大商業銀行、元大證券公司、元大證券投資顧問公司、元大期貨公司、元大創業投資公司、元大國際資產管理公司、元大證券投資信託公司、元大人壽保險公司、元大儲蓄銀行株式會社
台新金融控股公司(更名為台新新光金融控股公司),090/12/31,091/2/18,9390,714,台新國際商業銀行、台新綜合證券公司、台新證券投資信託公司、台新證券投資顧問公司、台新創業投資公司、台新資產管理公司、臺灣新光商業銀行、新光人壽保險公司、新光金國際創業投資公司、新光金保險代理人公司
兆豐金融控股公司,090/12/31,091/2/4,5235,402,兆豐國際商業銀行、兆豐產物保險公司、兆豐證券公司、兆豐國際證券投資信託公司、兆豐票券金融公司、兆豐創業投資公司、兆豐資產管理公司
第一金融控股公司,090/12/31,092/1/2,5235,302,第一商業銀行、第一金人壽保險公司、第一金證券公司、第一金證券投資信託公司、第一創業投資公司、第一金融資產管理公司、第一金融管理顧問公司
國票金融控股公司,091/2/8,091/3/26,508,56,國票綜合證券公司、國際票券金融公司、國票創業投資公司、樂天國際商業銀行、國票金租賃公司
臺灣金融控股公司,096/12/6,097/1/1,7989,597,臺灣銀行、臺銀人壽保險公司、臺銀綜合證券公司
合作金庫金融控股公司,100/9/22,100/12/1,5448,298,合作金庫商業銀行、合作金庫票券金融公司、合作金庫證券公司、合作金庫資產管理公司、合作金庫證券投資信託公司、合作金庫人壽保險公司、合作金庫創業投資公司
,,,基準日115.06.30,基準日115.06.30,基準日115.07.31
