契約代號,契約名稱,交易月份,成交量[口],日均成交量[口],未平倉量[口],交易契約價值[百萬元]
TX,臺股期貨,2026-08,3854210,183533,78420,1652410.5
MTX,小型臺指期貨,2026-08,6241050,297192,105420,684120.3
TE,電子期貨,2026-08,185420,8829,12450,215420.8
TF,金融期貨,2026-08,124500,5928,14200,118540.2
TXO,臺指選擇權,2026-08,12450800,592895,485200,84520.6
ZE,微型電子期貨,2026-08,452100,21528,28400,52410.5
ZF,微型金融期貨,2026-08,312400,14876,19500,29850.4
STF,股票期貨(台積電),2026-08,895400,42638,68500,1854200.0
MXF,微型臺指期貨,2026-08,1854000,88285,74500,102450.2
USF,美國道瓊期貨,2026-08,98500,4690,8900,38540.1
XIF,富櫃200期貨,2026-08,45200,2152,5400,14520.8
GDF,黃金期貨,2026-08,18500,880,3200,9850.2
