出表日期,公司代號,公司名稱,大股東名稱
1150904,1104,環泥,宇聲投資股份有限公司
1150904,1104,環泥,升元投資股份有限公司
1150904,1104,環泥,侯博義
1150904,1109,信大,楊忠雄
1150904,1109,信大,楊智雄
1150904,1109,信大,楊仁雄
1150904,1110,東泥,東樹投資股份有限公司
1150904,1213,大飲,旭順食品股份有限公司
1150904,1213,大飲,寶亞有限公司
1150904,1232,大統益,統一企業股份有限公司
1150904,1232,大統益,泰華油脂工業股份有限公司
1150904,1307,三芳,寶建企業股份有限公司
1150904,1315,達新,達昶投資股份有限公司
1150904,1323,永裕,裕大投資股份有限公司
1150904,1325,恆大,恆大投資股份有限公司
1150904,1341,富林-KY,ＦＵＬＬ  ＹＯＵＮＧ  ＧＲＯＵＰ  ＩＮＣ．
1150904,1341,富林-KY,王源林
1150904,1410,南染,士榮投資股份有限公司
1150904,1413,宏洲,宜進實業股份有限公司
1150904,1423,利華,中城投資股份有限公司
