上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:115/09/04
產業類別:全部產業
股票代號,公司名稱,本益比,每股股利(註),股利年度,殖利率(%),股價淨值比,財報年/季
1240,茂生農經        ,10.32,0.50000000,114,0.90,1.64,115Q2
1259,安心            ,18.11,1.20000000,114,1.87,0.74,115Q2
1264,德麥            ,11.89,15.00000000,114,5.95,2.63,115Q2
1268,漢來美食        ,13.81,8.00000000,114,4.40,3.20,115Q2
1294,漢田生技        ,10.94,5.00000000,114,9.36,1.97,115Q2
1295,生合            ,11.01,3.00000000,114,6.62,1.19,115Q2
1336,台翰            ,21.53,0.26000000,114,1.61,0.66,115Q2
1565,精華            ,12.28,5.80000000,114,5.88,0.78,115Q2
1569,濱川            ,N/A,0.00000000,114,0.00,2.36,115Q2
1570,力肯            ,47.54,1.00000000,114,3.05,1.63,115Q2
1580,新麥            ,8.94,8.50000000,114,8.29,1.62,115Q2
1584,精剛            ,31.03,0.25835500,114,1.44,0.87,115Q2
1586,和勤            ,48.65,0.00000000,114,0.00,0.91,115Q2
1591,駿吉-KY         ,N/A,0.00000000,114,0.00,3.03,115Q2
1593,祺驊            ,8.08,2.00000000,114,6.30,0.92,115Q2
1595,川寶            ,N/A,0.50000000,114,0.73,1.41,115Q2
1599,宏佳騰          ,N/A,0.50000000,114,2.18,0.89,115Q2
