年,申訴比率,簽單契約件數_千,申訴件數,依申訴人意見辦理件數,依申訴人意見辦理占申訴案件比率%,依保險公司意見辦理件數,依保險公司意見辦理占申訴案件比率%,和解件數,和解占申訴案件比率%,其他件數,其他占申訴案件比率%,備註
2000,0.0032,163228,520,92,17.69,376,72.31,33,6.35,19,3.65,"資料來源：保險局壽險監理組					
註：1.2012年以後之申訴件數為財團法人金融消費評議中心接獲保戶申訴之件數為準。"
2001,0.0036,177365,644,73,11.34,471,73.14,43,6.68,57,8.85
2002,0.0058,210599,1226,295,24.06,290,23.65,77,6.28,564,46.00
2003,0.0054,230612,1234,505,40.92,378,30.63,116,9.40,235,19.04
2004,0.0050,254325,1275,322,25.25,344,26.98,229,17.96,380,29.80
2005,0.0094,138710,1306,470,35.99,353,27.03,233,17.84,214,16.39
2006,0.0113,145822,1644,662,40.27,526,32.00,161,9.79,295,17.94
2007,0.0159,155127,2474,891,36.01,826,33.39,365,14.75,392,15.84
2008,0.0196,162379,3180,764,24.03,1143,35.94,792,24.91,481,15.12
2009,0.0224,168130,3759,872,23.20,1517,40.36,745,19.82,402,10.70
2010,0.0176,175682,3092,634,21.23,1259,42.15,660,22.10,434,14.53
2011,0.0146,187622,2736,504,18.42,1000,36.55,735,26.86,497,18.17
2012,0.0166,190902,3173,671,21.15,1818,57.30,516,16.26,168,5.29
2013,0.0123,202983,2496,607,24.32,1369,54.85,393,15.75,127,5.09
2014,0.0122,200871,2452,720,29.36,1148,46.82,449,18.31,135,5.51
2015,0.0127,203000,2575,909,35.30,976,37.90,531,20.62,159,6.18
2016,0.0115,205792,2359,908,38.49,777,32.94,502,21.28,172,7.29
2017,0.0119,213418,2542,947,37.25,951,37.41,516,20.30,128,5.04
2018,0.0138,222759,3074,1234,40.15,1108,36.04,557,18.12,175,5.69
2019,0.0205,228347,4674,1924,41.16,1736,37.14,692,14.81,322,6.89
