年,月,分擔額收入,補償支出,補償件數,備註
2004,,534245,326828,558,"資料來源：財團法人汽車交通事故特別補償基金			
註：1.補償支出包括已決及預估未決金額，已決金額係以補償案件之申請日期為統計基礎。"
2005,,491489,526627,1709
2006,,486824,610400,2628
2007,,489540,557086,2700
2008,,481003,641752,3543
2009,,445383,561439,3800
2010,,424151,534097,3870
2011,,438221,461998,3778
2012,,409895,466591,3717
2013,,426770,530832,3876
2014,,433407,465663,3705
2015,,436995,501668,3923
2016,,451171,513812,3897
2017,,464768,435924,4005
2018,,470671,435152,3697
2019,,480006,480687,3880
2020,,486688,447843,3659
2021,,495220,436392,3496
2022,,509818,358203,2844
2023,,523235,366284,2732
