業別,年度,上或下半年度,業務項目,缺失態樣,缺失情節,改善作法
金融控股公司,114,下半年,風險管理,風險管理報告揭露未完整。, 	定期提報董事會及風險管理委員會之風險管理業務執行工作報告，未涵括創投子公司之經營績效或完整投資部位。, 	應依本會113年3月5日金管銀控字第1120234683號函規定，提報子公司整體風險評估報告，提案內容應涵蓋創投事業之經營績效或完整投資部位，以利董事會掌握創業投資事業之投資風險。
金融控股公司,114,下半年,內部稽核,未依規定將內部稽核查核報告交付審計委員會查閱。, 	稽核單位依據某一獨立董事指示所辦理之專案查核，其查核報告僅交付予該獨立董事，未交付審計委員會查閱。, 	應依「金融控股公司及銀行業內部控制及稽核制度實施辦法」第19條規定，將內部稽核報告交付審計委員會查閱。
金融控股公司,114,上半年,子公司管理,未有效督導子公司管理業務風險。,"資產管理子公司對長期無法依出售計畫處分之不動產，於定期管理報告及陳報母公司資料未分析價格合理性或研提改善方案，不利及時調整處分計畫。
融資租賃子公司對建築業及營造工程業等建築相關產業授信，未洽借戶出具資金用途聲明暨切結書，並於核准動撥後主動查詢相關資金去向，不利確認資金流向符合中央銀行之選擇性信用管制措施。",應督導子公司依本會112年10月5日金管銀合字第1120273455號函說明二(三)「從事下列不動產相關業務，應在AMC財務可負擔或淨值一定比率範圍內為之，並以出售為原則，且金控公司（銀行）應督導AMC訂定出售計畫，並定期檢討執行情形。」，及110年12月28日金管銀法字第1100274400號函「為健全房地產市場發展及維持金融穩定，請貴公司督導轉投資之融資租賃子(孫)公司自即日起應遵循中央銀行對金融機構辦理不動產抵押貸款業務規定」之規定辦理。
金融控股公司,114,上半年,內部管理,辦理共同行銷業務有欠周延。,子公司提供客戶線上辦理開戶作業，對使用客戶資料之契約條款，僅提供「我已詳閱並同意」之選項，強制客戶勾選後始能續行辦理開戶作業，未有讓客戶選擇是否同意提供資料作為行銷運用之選項。,應依「金融控股公司子公司間共同行銷管理辦法」第11條第1項第2款「與客戶之往來契約，有關客戶資料之使用條款應訂定讓客戶選擇是否同意提供姓名或地址以外之其他資料作為行銷建檔、揭露、轉介或交互運用之欄位…」規定辦理。
金融控股公司,114,上半年,法令遵循,未確實向主管機關申報資訊或對外揭露風險資訊。,子公司未確實依本會申報說明填報及提供資料予金控公司，致金控公司彙整申報主管機關「金融控股公司(集團)國內及海外暴險情形申報表」及「金融控股公司所有子公司與金融控股公司法第46條第1項所定交易對象為同條第2項規定之交易行為總餘額申報表」資料內容不正確。,應督導子公司依本會申報說明辦理，並確實覆核子公司提供資料之正確性與完整性。
金融控股公司,113,下半年,個人資料保護,辦理子公司間共同行銷客戶資料之運用作業，對資料儲存、保管、使用之控管措施有欠妥適。,子公司定期透過加密電子郵件將同意共同行銷之客戶資料傳送予金控母公司，惟未建立定期清查與刪除客戶資料之控管機制，致有客戶資料留存於經辦個人電子郵件信箱之情事。,應依「金融控股公司子公司間共同行銷管理辦法」第11條第2項規定，對客戶資料建立妥善之儲存及保管措施，以確保客戶資料安全。
金融控股公司,113,下半年,風險管理,對集團企業信用風險控管有欠妥適。,"對集團企業歸戶之定義未依現行法令及實務上可取得資料進行檢討，並建立風險控管機制。
子公司對於同一集團企業之歸類方式與金控母公司不一致。","應確實參照銀行公會90年11月27日全授字2911號函定義「集團企業」及界定範圍，並依實務上可取得資料控管，落實集團信用風險管理。
應確實督導子公司建立同一集團企業信用風險管理機制，以加強風險控管。"
金融控股公司,113,下半年,公司治理,利害關係人資料庫未完整建檔控管。,子公司負責人未主動申報有利害關係之第三人，且權責單位未確實辦理清查，致相關利害關係人未建檔控管。,應依本會99年9月28日金管銀法字第09910004570號函規定，落實辦理利害關係人資料之填報、建檔作業，並定期確認利害關係人資料之正確性。
金融控股公司,113,下半年,內部管理,未落實所訂檢舉制度。,"涉及副總經理以上管理階層之檢舉案，調查報告未提報審計委員會複審。
對檢舉案之調查作業有欠嚴謹、調查報告未覈實記載所發現之不當情事，或未就欠妥情事提列缺失，督促辦理改善。","應依「金融控股公司及銀行業內部控制及稽核制度實施辦法」第34條之2規定，落實涉及高階管理階層檢舉案件之陳報作業。
應落實檢舉案件調查作業，並於調查報告覈實記載所發現不當情事，對調查發現欠妥情事應確實提列缺失並督促辦理改善。"
金融控股公司,113,上半年,法令遵循,提報董事會之法令遵循報告內容有欠完整。,提報董事會之法令遵循報告，未涵蓋第二層子公司之法令遵循情形，不利董事會完整瞭解集團成員之法遵風險及改善情形。,應落實「金融控股公司及銀行業內部控制及稽核制度實施辦法」第 32 條第 1 項有關向董事會報告之規定，強化提報董事會法令遵循報告之完整性，以確保董事會瞭解整體金控集團之法令遵循風險，適時督導改善。
