業別,年度,上或下半年度,業務項目,缺失態樣,缺失情節,改善作法
外國銀行在臺分行,114,下半年,授信業務,辦理餘屋貸款之徵信審查欠嚴謹。,對建物完成年限已久，未詳加查證說明餘屋去化情形對債權之影響，亦未徵提銷售計畫，以評估銷售價格之合理性。,應依本會109年11月20日金管銀法字第1090273985號函規定徵提銷售計畫，分析其可行性，並瞭解當地相似建案銷售狀況，以評估擔保品是否可順利去化。
外國銀行在臺分行,114,下半年,衍生性金融商品,核予非屬專業機構投資人客戶之衍生性金融商品額度有欠妥適。,對非屬專業機構投資人核給衍生性金融商品避險交易額度，未洽客戶提供與其他金融機構之承作情形或透過聯徵中心查詢結果。,應依「銀行辦理衍生性金融商品業務內部作業制度及程序管理辦法」第20條第3項及第4項規定，考量客戶風險承擔能力、承擔意願及與其他金融機構交易額度後，覈實核給客戶交易額度。
外國銀行在臺分行,114,上半年,防制洗錢、打擊資恐及反武擴作業,辦理客戶持續審查作業有欠妥適。,辦理客戶定期審查作業，有客戶公司註冊地址與客戶主檔內容不符，惟未查證及未辦理資料更新者，或對高風險客戶之審查程序，未重新確認客戶身分及風險等級，且審查內容僅列部分身分確認要項。,應強化客戶基本資訊定期審查機制，以利客戶主檔內容正確性，另辦理高風險客戶審查作業，應依「金融機構防制洗錢辦法」第 5 條第 3 款規定，定期檢視其辨識客戶及實質受益人身分所取得之資訊是否足夠，並確保該等資訊之更新。
外國銀行在臺分行,114,上半年,內部管理,交易室門禁控管作業欠確實。,"有核給非分行所屬人員進出交易室之權限，且未於發現時確實查核錯誤情形並加強控管。
對非正式員工交易室門禁之申請表單，未覈實敘明作業所需時間並附佐證資料，而逕核給例假日全時段門禁權限者。",應強化交易室門禁控管機制，對非正式員工交易室門禁之申請表單，覈實控管作業所需時間並附佐證資料，以利作業風險控管。
外國銀行在臺分行,113,下半年,防制洗錢、打擊資恐及反武擴作業,辦理防制洗錢之風險評估及盡職調查待加強。,"辦理固有風險評估作業，對個別產品與服務、交易或支付管道項目，未依其性質訂定具體細部風險因素，以評估洗錢及資恐風險。
對高風險客戶辦理加強盡職調查(EDD)，未取得客戶之有效身分證明文件；或辦理辨識法人客戶身分作業，僅檢核通訊地址是否相同，致未發現法人公司登記地址亦有多個客戶登記於同一地址之情形。","應參酌「銀行評估洗錢及資恐風險及訂定相關防制計畫指引」第三點規定，對產品及服務、交易或支付管道的性質訂定細部風險因素。
應覈實辦理辨識客戶身分及審查作業，並依銀行公會「銀行防制洗錢及打擊資恐注意事項範本附錄疑似洗錢或資恐交易態樣」規定，對同一地址有大量客戶註冊者予以控管。"
外國銀行在臺分行,113,下半年,個人資料保護,客戶個人資料保護及控管機制有欠完整。,辦理個人資料保護評估及盤點作業，對個人資料流程識別清單所列業務或範圍有欠完整，致個資盤點有缺漏情形。,應依「本會指定非公務機關個人資料檔案安全維護辦法」第4條規定，依個人資料保護相關法令，定期查核確認所保有之個人資料現況，界定其納入本計畫及處理方法之範圍。
外國銀行在臺分行,113,下半年,授信業務,未審慎辦理鉅額信用貸款之徵審及貸後管理作業。,對以投資國內股票為借款目的之鉅額放款，未於核貸前瞭解借戶實際貸款目的及計畫投資標的，致有授信戶實際資金用於償還他行興建不動產貸款或匯入建設公司之情形。,應確實瞭解借戶資金用途及徵提佐證資料，落實查證借戶撥款資金流向及實際用途，並依本會107年8月31日金管銀法字第 10702733630  號令之規定計入銀行法第七十二條之二限額控管。
外國銀行在臺分行,113,下半年,衍生性金融商品業務,核予專業機構投資人及高淨值投資法人以外客戶之外匯衍生性金融商品避險交易額度作業有欠妥適。,對專業機構投資人及高淨值投資法人以外客戶核給或展延外匯衍生性金融商品避險交易額度，未詳實分析攸關客戶實際外匯暴險之財務或營運資訊暨估算客戶名目本金避險需求，導致核給額度有過高之虞。,應依本會106年6月20日金管銀外字第10600064741號令規定，依據客戶提供自身或所屬集團企業之財務報表或其他營運相關資訊，評估客戶合理之避險需求，並載明額度核給之評估方式，且留存相關紀錄。
外國銀行在臺分行,113,上半年,防制洗錢、打擊資恐及反武擴作業,辦理防制洗錢作業有欠妥適。,受理存戶申請網路銀行轉帳服務，尚未將「在短時 間內，多個客戶網銀交易透過同一電腦 IP 位址辦 理，且密集轉入相同受款帳號累積達特定金額」之 態樣列入所訂「疑似洗錢或資恐交易態樣」，並建立 檢核機制。 對檢調機關來函調查防制洗錢或偵辦案件之客戶， 有評估查無可疑交易仍維持既有客戶風險等級(中 或低風險)，惟未建立持續追蹤機制，不利強化控管 疑似洗錢或資恐交易。,應 依 本 會 112 年 7 月 12 日 金 管 銀 法 字 第 1120138562 號函同意備查之「疑似洗錢或資恐交 易態樣」，一、產品/服務-存提匯款類(十六)「在短 時間內，多個客戶網銀交易透過同一電腦 IP 位址 辦理，且密集轉入相同受款帳號累積達特定金 額。」之規定，適時增列態樣項目及檢核機制，並 檢討疑似洗錢交易檢核條件設定之妥適性。 對檢調機關調查防制洗錢或偵辦案件之客戶，應 建立持續追蹤機制，強化控管疑似洗錢或資恐交 易。
外國銀行在臺分行,113,上半年,授信業務,辦理徵審及貸後管理作業，有未落實銀行公會會員徵 信及授信準則。,辦理徵信作業，有未查詢借戶於財團法人金融聯 合徵信中心之票債信紀錄，以瞭解借戶及其主要 負責人之一般信譽。 辦理企業授信，有未評估同一關係(集團)企業資 產、負債與營運狀況，俾綜合評估其實際資金需 求。 尚未訂定覆審作業規範，於貸後查核資金實際用 途是否與申貸用途相符。 辦理大型專案融資案件貸後管理，尚未建置管理 報表，以定期彙整並追蹤各專案工程執行進度。,辦理企業授信，應依「中華民國銀行公會會員徵 信準則」第 22 條規定，確實辦理企業及其主要 負責人一般信譽(含票信及債信紀錄)調查，並依 「中華民國銀行公會會員授信準則」第 28、30 及 31 條規定，宜注意評估企業與其同一關係(集 團)企業暨相關自然人等資產、負債與營運狀況， 以瞭解同一關係(集團)企業整體之財務資訊，並 於授信案件貸放後辦理覆審追蹤工作，查核其 資金實際用途是否與申貸用途相符。 承作專案融資應依上開授信準則第 20 條之 1 第 5 款規定，落實貸後管理機制，包括訂定追蹤專 案計畫執行進度及強化落實覆審作業等。
