日期,本週新增件數,較前期增減%,累計案件數
20241206,1030,1.75,68115
20241213,1024,-0.59,69139
20241220,676,-51.48,69815
20241227,1098,38.43,70913
20250103,927,-18.45,71840
20250110,1233,24.82,73073
20250117,1145,-7.69,74218
20250124,1138,-0.62,75356
20250207,1122,-1.43,76478
20250214,1358,17.38,77836
20250221,1173,-15.77,79009
20250227,943,-24.39,79952
20250307,1179,20.02,81131
20250314,1164,-1.29,82295
20250321,1127,-37,83422
20250331,1167,40,84589
20250407,746,-421,85335
20250414,1419,673,86754
20250421,1429,10,88183
20250428,1379,-50,89562
