日期(起),日期(迄),爭議對象,申訴件數,案件比率(註1)
20260401,20260630,中國信託商業銀行股份有限公司,377,28.69%
20260401,20260630,台新國際商業銀行股份有限公司,134,10.20%
20260401,20260630,國泰世華商業銀行股份有限公司,132,10.05%
20260401,20260630,台北富邦商業銀行股份有限公司,58,4.41%
20260401,20260630,玉山商業銀行股份有限公司,58,4.41%
20260401,20260630,星展(台灣)商業銀行股份有限公司,58,4.41%
20260401,20260630,聯邦商業銀行股份有限公司,43,3.27%
20260401,20260630,連線商業銀行股份有限公司,37,2.82%
20260401,20260630,元大商業銀行股份有限公司,32,2.44%
20260401,20260630,華南商業銀行股份有限公司,31,2.36%
20260401,20260630,臺灣銀行股份有限公司,30,2.28%
20260401,20260630,第一商業銀行股份有限公司,28,2.13%
20260401,20260630,中華郵政股份有限公司儲匯處,28,2.13%
20260401,20260630,永豐商業銀行股份有限公司,27,2.05%
20260401,20260630,合作金庫商業銀行股份有限公司,26,1.98%
20260401,20260630,滙豐(台灣)商業銀行股份有限公司,25,1.90%
20260401,20260630,彰化商業銀行股份有限公司,19,1.45%
20260401,20260630,遠東國際商業銀行股份有限公司,19,1.45%
20260401,20260630,臺灣土地銀行股份有限公司,16,1.22%
20260401,20260630,渣打國際商業銀行股份有限公司,16,1.22%
