year,co2_value,ch4_value,n2o_value,hfcs_value,pfcs_value,sf6_value,nf3_value,total_ghg_emission_value,co2_absorption_value,net_ghg_emission_value
2024,"261,504 ","4,345 ","3,392 ","1,807 ",876 ,542 ,695 ,"273,161 ","-21,757 ","251,404 "
2023,"266,653 ","4,414 ","3,598 ","1,672 ",878 ,481 ,348 ,"278,044 ","-21,717 ","256,327 "
2022,"273,593 ","4,580 ","4,048 ","1,594 ","1,250 ",660 ,455 ,"286,180 ","-21,826 ","264,354 "
2021,"283,346 ","4,792 ","4,839 ","1,446 ","1,354 ",882 ,556 ,"297,214 ","-21,843 ","275,371 "
2020,"272,088 ","4,885 ","4,421 ","1,320 ","1,336 ",867 ,528 ,"285,445 ","-21,899 ","263,546 "
2019,"274,322 ","5,000 ","4,409 ","1,187 ","1,315 ",963 ,443 ,"287,639 ","-21,915 ","265,724 "
2018,"283,753 ","5,137 ","4,597 ","1,059 ","1,421 ","1,342 ",477 ,"297,786 ","-21,980 ","275,805 "
2017,"285,706 ","5,523 ","4,548 ",924 ,"1,304 ","1,459 ",412 ,"299,876 ","-21,961 ","277,915 "
2016,"280,146 ","5,770 ","4,425 ",798 ,"1,336 ","1,458 ",442 ,"294,374 ","-21,926 ","272,448 "
2015,"276,215 ","5,715 ","4,233 ",708 ,"1,250 ","1,569 ",626 ,"290,316 ","-21,900 ","268,415 "
2014,"276,911 ","5,832 ","4,269 ",677 ,"1,449 ","1,807 ",624 ,"291,569 ","-21,886 ","269,683 "
2013,"274,529 ","6,256 ","4,316 ",582 ,"1,253 ","2,059 ",723 ,"289,718 ","-21,974 ","267,744 "
2012,"273,256 ","6,727 ","4,512 ",453 ,"1,054 ","1,909 ",363 ,"288,274 ","-21,960 ","266,314 "
2011,"276,769 ","7,219 ","4,592 ",350 ,"1,665 ","1,976 ",393 ,"292,965 ","-21,947 ","271,018 "
2010,"270,760 ","7,564 ","4,599 ",369 ,"1,650 ","2,286 ",241 ,"287,470 ","-21,889 ","265,581 "
2009,"252,988 ","8,098 ","4,286 ",377 ,"1,464 ","2,527 ",540 ,"270,282 ","-19,384 ","250,898 "
2008,"266,919 ","9,020 ","4,116 ",326 ,"1,932 ","3,001 ",191 ,"285,507 ","-22,077 ","263,429 "
2007,"279,985 ","9,870 ","4,512 ",370 ,"3,102 ","3,485 ",747 ,"302,072 ","-22,068 ","280,003 "
2006,"276,444 ","10,661 ","4,458 ",298 ,"3,355 ","3,940 ",644 ,"299,799 ","-22,253 ","277,546 "
2005,"266,703 ","11,428 ","4,087 ",271 ,"3,178 ","5,052 ",716 ,"291,435 ","-22,282 ","269,153 "
